	    r   r15,5474022,2332,5474000,2445,7
16,5474034,2335,5478712,11866,7
17,5473895,2628,5480039,14477,7
18,5474063,2332,5477144,8647,7
19,5474053,2385,5474317,2986,7
20,5474109,2361,5473323,3976,7
21,5473133,6060,5476225,6822,7
22,5473626,3369,5469455,18976,7
23,5473454,3737,5479472,13243,7
24,5474177,2351,5474150,2452,7
25,5474190,2384,5474935,11304,7
26,5474227,2437,5474224,2554,7
27,5474273,2683,5474273,2683,7
28,5474308,2570,5475287,4826,7
29,5475028,3959,5474616,4287,7
30,5474570,3045,5472596,5700,7
31,5474251,2345,5473523,4666,7
32,5474357,2506,5475056,4044,7
33,5474298,2340,5476419,7230,7
34,5474123,2701,5476367,6788,7
35,5474313,2350,5474235,2748,7
36,5474324,2497,5474324,2497,7
37,5474356,2342,5474507,2813,7
38,5474354,2785,5473438,5292,7
39,5474584,2752,5477270,8267,7
40,5475774,5403,5473250,5860,7
41,5474381,2349,5475147,11203,7
42,5474413,2385,5474838,3326,7
43,5474426,2335,5474461,2541,7
44,5474580,2659,5473162,9862,7
45,5474426,2446,5474426,2446,7
46,5474460,2365,5473690,4031,7
47,5474770,2948,5474978,3826,7
48,5474942,3364,5474942,3364,7
49,5474499,2343,5474503,2433,7
50,5474523,2374,5476992,7415,7
51,5474495,2463,5474976,8741,7
52,5475184,3607,5474169,8489,7
53,5475016,3490,5472937,5684,7
54,5474707,2916,5474821,3002,7
55,5474647,2843,5474647,2843,7
56,5474595,2469,5474595,2469,7
57,5474666,2464,5474861,5480,7
58,5474617,2510,5474617,2510,7
59,5474622,2364,5474479,4603,7
60,5474685,2398,5474072,3604,7
61,5474814,3043,5474814,3043,7
62,5474498,2745,5474424,2920,7
63,5474979,2976,5473458,7324,7
64,5475318,3678,5476060,6632,7
65,5474709,2384,5473209,5440,7
66,5474733,2351,5474715,2463,7
67,5474725,2346,5475096,3757,7
68,5474407,3094,5476433,5994,7
69,5474808,3098,5476411,6119,7
70,5474813,2417,5476200,15734,7
71,5474789,2400,5478425,9818,7
72,5475159,3113,5473812,4403,7
73,5474814,2379,5482711,20951,7
74,5474823,2356,5473704,5696,7
75,5474934,2681,5474610,4232,7
76,5474850,2358,5474682,4988,7
77,5474841,2334,5473489,5171,7
78,5474862,2357,5474289,4207,7
79,5474626,2884,5472102,8030,7
80,5474971,2517,5472114,11219,7
81,5475101,2741,5474856,22962,7
82,5474946,2459,5474085,4154,7
83,5474924,2363,5474906,2482,7
84,5474933,2349,5475251,3118,7
85,5476279,5178,5476279,5178,7
86,5474465,3270,5475657,3920,7
87,5475106,4011,5471009,10624,7
88,5475015,2533,5475844,4189,7
89,5475178,2966,5475178,2966,7
90,5474983,2379,5475252,3017,7
91,5475819,3990,5474144,7277,7
92,5475046,2421,5475005,2453,7
93,5475011,2856,5474793,3019,7
94,5475036,2343,5473341,9412,7
95,5474531,3415,5472617,9527,7
96,5475092,2420,5475011,2469,7
97,5475068,2341,5473326,5954,7
98,5475157,2519,5474734,5666,7
