27,-25148570,0
28,-25149915,-1345
29,-25149547,368
30,-25150514,-967
31,-25151539,-1025
32,-25149921,1618
33,-25150817,-896
34,-25152904,-2087
35,-25148869,4035
36,-25147736,1133
37,-25151338,-3602
38,-25149938,1400
39,-25152670,-2732
40,-25149873,2797
41,-25150164,-291
42,-25148823,1341
43,-25149867,-1044
44,-25149850,17
45,-25148984,866
                                                                47,-25149623,2372
48,-25149599,24
49,-25149956,-357
50,-25150097,-141
51,-25149185,912
52,-25150012,-827
53,-25148631,1381
54,-25151080,-2449
55,-25149632,1448
56,-25150054,-422
57,-25151312,-1258
58,-25150030,1282
59,-25149245,785
60,-25149748,-503
61,-25148884,864
62,-25149835,-951
63,-25152321,-2486
64,-25149728,2593
65,-25148633,1095
66,-25150000,-1367
67,-25149741,259
68,-25147827,1914
69,-25151260,-3433
70,-25145131,6129
71,-25149068,-3937
72,-25146939,2129
73,-25147656,-717
74,-25148090,-434
75,-25149593,-1503
                                                                77,-25151287,-3115
78,-25152122,-835
79,-25149652,2470
80,-25149652,0
81,-25151079,-1427
82,-25149436,1643
83,-25149727,-291
84,-25150267,-540
85,-25149476,791
86,-25148249,1227
87,-25145310,2939
88,-25148098,-2788
89,-25148648,-550
90,-25151087,-2439
91,-25149979,1108
92,-25147893,2086
93,-25149389,-1496
94,-25150161,-772
95,-25145957,4204
96,-25151482,-5525
97,-25148665,2817
98,-25148397,268
99,-25149553,-1156
100,-25156096,-6543
101,-25151722,4374
102,-25149368,2354
103,-25149117,251
104,-25150238,-1121
B listo
B listo
seq,offset_us,delta_us
7,-5627412,0
8,-5628521,-1109
9,-5627252,1269
10,-5628572,-1320
11,-5627509,1063
12,-5626106,1403
13,-5628147,-2041
14,-5622047,6100
15,-5626042,-3995
16,-5628290,-2248
17,-5628373,-83
18,-5626017,2356
19,-5629743,-3726
20,-5629171,572
21,-5628888,283
22,-5626854,2034
23,-5628271,-1417
24,-5628303,-32
25,-5628314,-11
26,-5628636,-322
27,-5621710,6926
28,-5630691,-8981
29,-5628629,2062
30,-5627930,699
31,-5624087,3843
32,-5628421,-4334
33,-5629074,-653
34,-5625520,3554
35,-5626348,-828
36,-5628605,-2257
37,-5629148,-543
38,-5627215,1933
39,-5627846,-631
40,-5628014,-168
41,-5627883,131
42,-5629438,-1555
43,-5627294,2144
44,-5628914,-1620
45,-5625571,3343
46,-5627643,-2072
47,-5626976,667
48,-5625888,1088
49,-5627925,-2037
50,-5626991,934
51,-5626678,313
52,-5634025,-7347
53,-5626071,7954
54,-5626546,-475
55,-5633254,-6708
56,-5627789,5465
57,-5621147,6642
58,-5624466,-3319
59,-5627866,-3400
60,-5629317,-1451
61,-5628028,1289
62,-5627712,316
63,-5628050,-338
64,-5627562,488
65,-5627621,-59
66,-5627309,312
67,-5627324,-15
68,-5631507,-4183
69,-5627295,4212
70,-5627583,-288
71,-5627087,496
72,-5627586,-499
73,-5627571,15
74,-5628725,-1154
75,-5626667,2058
76,-5628487,-1820
77,-5627190,1297
78,-5625353,1837
79,-5634497,-9144
80,-5626519,7978
81,-5627469,-950
82,-5625678,1791
83,-5627569,-1891
84,-5628375,-806
85,-5627263,1112
86,-5627395,-132
87,-5631425,-4030
88,-5627183,4242
89,-5627355,-172
90,-5627365,-10
91,-5620536,6829
92,-5627303,-6767
93,-5624749,2554
94,-5624237,512
95,-5627653,-3416
96,-5627389,264
97,-5630279,-2890
98,-5627272,3007
99,-5627139,133
100,-5626047,1092
101,-5625709,338
102,-5627220,-1511
